"Code","Title","Description"
"11199","All Other Crop FarmingT","This industry comprises establishments primarily engaged in (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; or hay) or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).

Illustrative Examples:

Agave farming
Spice farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and nut combinations)
Tea farming
Hay seed farming
Maple sap gathering
Peanut farming
Sugar beet farming
Grass seed farming


Cross-References. Establishments primarily engaged in--"
"111991","Sugar Beet Farming","This U.S. industry comprises establishments primarily engaged in growing sugar beets.

Cross-References."
"111992","Peanut Farming","This U.S. industry comprises establishments primarily engaged in growing peanuts."
"111998","All Other Miscellaneous Crop Farming","This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market); or (3) gathering tea or maple sap.

Illustrative Examples:

Agave farming
Mint farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and tree nut combinations)
Hay seed farming
Grass seed farming
Hop farming
Spice farming


Cross-References. Establishments primarily engaged in--"
"112","Animal Production and AquacultureT","Industries in the Animal Production and Aquaculture subsector raise or fatten animals for the sale of animals or animal products and/or raise aquatic plants and animals in controlled or selected aquatic environments for the sale of aquatic plants, animals, or their products.  The subsector includes establishments, such as ranches, farms, and feedlots, primarily engaged in keeping, grazing, breeding, or feeding animals.  These animals are kept for the products they produce or for eventual sale.  The animals are generally raised in various environments, from total confinement or captivity to feeding on an open range pasture.

The industries in this subsector are grouped by important factors, such as suitable grazing or pasture land, specialized buildings, type of equipment, and the amount and types of labor required.  Establishments are classified in the Animal Production and Aquaculture subsector when animal production (i.e., value of animals for market) accounts for one-half or more of the establishment's total agricultural production.  Establishments with one-half or more animal production with no one animal product or family of animal products of an industry accounting for one-half of the establishment's agricultural production are treated as combination animal farming classified in Industry 11299, All Other Animal Production.
"
"1121","Cattle Ranching and FarmingT","This industry group comprises establishments primarily engaged in raising cattle, milking dairy cattle, or feeding cattle for fattening.
"
"11211","Beef Cattle Ranching and Farming, including FeedlotsT","This industry comprises establishments primarily engaged in raising cattle (including cattle for dairy herd replacements), or feeding cattle for fattening.

Cross-References. Establishments primarily engaged in--"
"112111","Beef Cattle Ranching and Farming","This U.S. industry comprises establishments primarily engaged in raising cattle (including cattle for dairy herd replacements).

Cross-References."
"112112","Cattle Feedlots","This U.S. industry comprises establishments primarily engaged in feeding cattle for fattening.

Cross-References."
"11212","Dairy Cattle and Milk ProductionT","See industry description for 112120."
"112120","Dairy Cattle and Milk Production","This industry comprises establishments primarily engaged in milking dairy cattle.

Cross-References. Establishments primarily engaged in--"
"11213","Dual-Purpose Cattle Ranching and FarmingT","See industry description for 112130."
"112130","Dual-Purpose Cattle Ranching and Farming","This industry comprises establishments primarily engaged in raising cattle for both milking and meat production.

Cross-References. Establishments primarily engaged in--"
"1122","Hog and Pig FarmingT","NULL"
"11221","Hog and Pig FarmingT","See industry description for 112210."
"112210","Hog and Pig Farming","This industry comprises establishments primarily engaged in raising hogs and pigs.  These establishments may include farming activities, such as breeding, farrowing, and the raising of weanling pigs, feeder pigs, or market size hogs.

Cross-References."
"1123","Poultry and Egg ProductionT","This industry group comprises establishments primarily engaged in breeding, hatching, and raising poultry for meat or egg production.
"
"11231","Chicken Egg ProductionT","See industry description for 112310."
"112310","Chicken Egg Production","This industry comprises establishments primarily engaged in raising chickens for egg production.  The eggs produced may be for use as table eggs or hatching eggs.

Cross-References."
"11232","Broilers and Other Meat Type Chicken ProductionT","See industry description for 112320."
"112320","Broilers and Other Meat Type Chicken Production","This industry comprises establishments primarily engaged in raising broilers, fryers, roasters, and other meat type chickens.

Cross-References."
"11233","Turkey ProductionT","See industry description for 112330."
"112330","Turkey Production","This industry comprises establishments primarily engaged in raising turkeys for meat or egg production."
"11234","Poultry HatcheriesT","See industry description for 112340."
"112340","Poultry Hatcheries","This industry comprises establishments primarily engaged in hatching poultry of any kind."
"11239","Other Poultry ProductionT","See industry description for 112390."
"112390","Other Poultry Production","This industry comprises establishments primarily engaged in raising poultry (except chickens for meat or egg production and turkeys).

Illustrative Examples:

Duck production
Ostrich production
Emu production
Pheasant production
Geese production
Quail production


Cross-References. Establishments primarily engaged in--"
"1124","Sheep and Goat FarmingT","This industry group comprises establishments primarily engaged in raising sheep, lambs, and goats, or feeding lambs for fattening.
"
"11241","Sheep FarmingT","See industry description for 112410."
"112410","Sheep Farming","This industry comprises establishments primarily engaged in raising sheep and lambs, or feeding lambs for fattening.  The sheep or lambs may be raised for sale or wool production.

Cross-References."
"11242","Goat FarmingT","See industry description for 112420."
"112420","Goat Farming","This industry comprises establishments primarily engaged in raising goats."
"1125","AquacultureT","NULL"
"11251","AquacultureT","This industry comprises establishments primarily engaged in the farm raising and production of aquatic animals or plants in controlled or selected aquatic environments.  These establishments use some form of intervention in the rearing process to enhance production, such as holding in captivity, regular stocking, feeding, and protecting from predators, pests, and disease.

Cross-References."
"112511","Finfish Farming and Fish Hatcheries","This U.S. industry comprises establishments primarily engaged in (1) farm raising finfish (e.g., catfish, trout, goldfish, tropical fish, minnows) and/or (2) hatching fish of any kind.

Cross-References."
"112512","Shellfish Farming","This U.S. industry comprises establishments primarily engaged in farm raising shellfish (e.g., crayfish, shrimp, oysters, clams, mollusks).

Cross-References."
"112519","Other Aquaculture","This U.S. industry comprises establishments primarily engaged in (1) farm raising of aquatic animals (except finfish and shellfish) and/or (2) farm raising of aquatic plants.  Alligator, algae, frog, seaweed, or turtle production is included in this industry.

Cross-References. Establishments primarily engaged in--"
"1129","Other Animal ProductionT","This industry group comprises establishments primarily engaged in raising animals and insects (except cattle, hogs and pigs, poultry, sheep and goats, and aquaculture) for sale or product production.  These establishments are primarily engaged in raising one of the following: bees, horses and other equines, rabbits and other fur-bearing animals, and so forth, and producing products, such as honey and other bee products.  Establishments primarily engaged in raising a combination of animals with no one animal or family of animals accounting for one-half of the establishment's agricultural production (i.e., value of animals for market) are included in this industry group.
"
"11291","ApicultureT","See industry description for 112910."
"112910","Apiculture","This industry comprises establishments primarily engaged in raising bees.  These establishments may collect and gather honey; and/or sell queen bees, packages of bees, royal jelly, bees' wax, propolis, venom, pollen, and/or other bee products.
"
"11292","Horses and Other Equine ProductionT","See industry description for 112920."
"112920","Horses and Other Equine Production","This industry comprises establishments primarily engaged in raising horses, mules, donkeys, and other equines.

Cross-References."
"11293","Fur-Bearing Animal and Rabbit ProductionT","See industry description for 112930."
"112930","Fur-Bearing Animal and Rabbit Production","This industry comprises establishments primarily engaged in raising fur-bearing animals including rabbits.  These animals may be raised for sale or for their pelt production.

Cross-References."
"11299","All Other Animal ProductionT","See industry description for 112990."
"112990","All Other Animal Production","This industry comprises establishments primarily engaged in (1) raising animals (except cattle, hogs and pigs, poultry, sheep and goats, aquaculture, apiculture, horses and other equines; and fur-bearing animals including rabbits) or (2) raising a combination of animals, with no one animal or family of animals accounting for one-half of the establishment's agricultural production (i.e., value of animals for market).

Illustrative Examples:

Bird production (e.g., canaries, parakeets, parrots)
Laboratory animal production (e.g., rats, mice, guinea pigs)
Deer production
Combination animal farming (except dairy, poultry)
Companion animals production (e.g., cats, dogs)
Worm production
Llama production


Cross-References. Establishments primarily engaged in--"
"113","Forestry and LoggingT","Industries in the Forestry and Logging subsector grow and harvest timber on a long production cycle (i.e., of 10 years or more).  Long production cycles use different production processes than short production cycles, which require more horticultural interventions prior to harvest, resulting in processes more similar to those found in the Crop Production subsector.  Consequently, Christmas tree production and other production involving production cycles of less than 10 years, are classified in the Crop Production subsector.

Industries in this subsector specialize in different stages of the production cycle.  Reforestation requires production of seedlings in specialized nurseries.  Timber production requires natural forest or suitable areas of land that are available for a long duration.  The maturation time for timber depends upon the species of tree, the climatic conditions of the region, and the intended purpose of the timber.  The harvesting of timber (except when done on an extremely small scale) requires specialized machinery unique to the industry.  Establishments gathering forest products, such as gums, barks, balsam needles, rhizomes, fibers, Spanish moss, and ginseng and truffles, are also included in this subsector.
"
"1131","Timber Tract OperationsT","NULL"
"11311","Timber Tract OperationsT","See industry description for 113110."
"113110","Timber Tract Operations","This industry comprises establishments primarily engaged in the operation of timber tracts for the purpose of selling standing timber.

Cross-References. Establishments primarily engaged in--"
"1132","Forest Nurseries and Gathering of Forest ProductsT","NULL"
"11321","Forest Nurseries and Gathering of Forest ProductsT","See industry description for 113210."
"113210","Forest Nurseries and Gathering of Forest Products","This industry comprises establishments primarily engaged in (1) growing trees for reforestation and/or (2) gathering forest products, such as gums, barks, balsam needles, rhizomes, fibers, Spanish moss, ginseng, and truffles.

Cross-References. Establishments primarily engaged in--"
"1133","LoggingT","NULL"
"11331","LoggingT","See industry description for 113310."
"113310","Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"114","Fishing, Hunting and TrappingT","Industries in the Fishing, Hunting and Trapping subsector harvest fish and other wild animals from their natural habitats and are dependent upon a continued supply of the natural resource.  The harvesting of fish is the predominant economic activity of this subsector and it usually requires specialized vessels that, by the nature of their size, configuration and equipment, are not suitable for any other type of production, such as transportation. 

Hunting and trapping activities utilize a wide variety of production processes and are classified in the same subsector as fishing because the availability of resources and the constraints imposed, such as conservation requirements and proper habitat maintenance, are similar.
"
"1141","FishingT","NULL"
"11411","FishingT","This industry comprises establishments primarily engaged in the commercial catching or taking of finfish, shellfish, or miscellaneous marine products from a natural habitat, such as the catching of bluefish, eels, salmon, tuna, clams, crabs, lobsters, mussels, oysters, shrimp, frogs, sea urchins, and turtles.

Cross-References. Establishments primarily engaged in--"
"114111","Finfish Fishing","This U.S. industry comprises establishments primarily engaged in the commercial catching or taking of finfish (e.g., bluefish, salmon, trout, tuna) from their natural habitat.

Cross-References. Establishments primarily engaged in--"
"114112","Shellfish Fishing","This U.S. industry comprises establishments primarily engaged in the commercial catching or taking of shellfish (e.g., clams, crabs, lobsters, mussels, oysters, sea urchins, shrimp) from their natural habitat.

Cross-References."
"114119","Other Marine Fishing","This U.S. industry comprises establishments primarily engaged in the commercial catching or taking of marine animals (except finfish and shellfish).

Cross-References. Establishments primarily engaged in--"
"1142","Hunting and TrappingT","NULL"
"11421","Hunting and TrappingT","See industry description for 114210."
"114210","Hunting and Trapping","This industry comprises establishments primarily engaged in one or more of the following: (1) commercial hunting and trapping; (2) operating commercial game preserves, such as game retreats; and (3) operating hunting preserves.

Cross-References. Establishments primarily engaged in--"
"115","Support Activities for Agriculture and ForestryT","Industries in the Support Activities for Agriculture and Forestry subsector provide support services that are an essential part of agricultural and forestry production.  These support activities may be performed by the agriculture or forestry producing establishment or conducted independently as an alternative source of inputs required for the production process for a given crop, animal, or forestry industry.  Establishments that primarily perform these activities independent of the agriculture or forestry producing establishment are in this subsector.
"
"1151","Support Activities for Crop ProductionT","NULL"
"11511","Support Activities for Crop ProductionT","This industry comprises establishments primarily engaged in providing support activities for growing crops.

Illustrative Examples:

Aerial crop dusting or spraying (i.e., using specialized or dedicated aircraft)
Farm management services
Cotton ginning
Planting crops
Cultivating services
Vineyard cultivation services


Cross-References. Establishments primarily engaged in--"
"115111","Cotton Ginning","This U.S. industry comprises establishments primarily engaged in ginning cotton."
"115112","Soil Preparation, Planting, and Cultivating","This U.S. industry comprises establishments primarily engaged in performing a soil preparation activity or crop production service, such as plowing, fertilizing, seed bed preparation, planting, cultivating, and crop protecting services.

Cross-References. Establishments primarily engaged in--"
"115113","Crop Harvesting, Primarily by Machine","This U.S. industry comprises establishments primarily engaged in mechanical harvesting, picking, and combining of crops, and related activities.  The machinery used is provided by the servicing establishment.

Cross-References. Establishments primarily engaged in--"
"115114","Postharvest Crop Activities (except Cotton Ginning)","This U.S. industry comprises establishments primarily engaged in performing services on crops, subsequent to their harvest, with the intent of preparing them for market or further processing.  These establishments provide postharvest activities, such as crop cleaning, sun drying, shelling, fumigating, curing, sorting, grading, packing, and cooling.

Cross-References. Establishments primarily engaged in--"
"115115","Farm Labor Contractors and Crew Leaders","This U.S. industry comprises establishments primarily engaged in supplying labor for agricultural production or harvesting.

Cross-References. Establishments primarily engaged in--"
"115116","Farm Management Services","This U.S. industry comprises establishments primarily engaged in providing farm management services on a contract or fee basis usually to citrus groves, orchards, or vineyards.  These establishments always provide management and may arrange or contract for the partial or the complete operations of the farm establishment(s) they manage.  Operational activities may include cultivating, harvesting, and/or other specialized agricultural support activities.

Cross-References."
"1152","Support Activities for Animal ProductionT","NULL"
"11521","Support Activities for Animal ProductionT","See industry description for 115210."
"115210","Support Activities for Animal Production","This industry comprises establishments primarily engaged in performing support activities related to raising livestock (e.g., cattle, goats, hogs, horses, poultry, sheep).  These establishments may perform one or more of the following: (1) breeding services for animals, including companion animals (e.g., cats, dogs, pet birds); (2) pedigree record services; (3) boarding horses; (4) dairy herd improvement activities; (5) livestock spraying; and (6) sheep dipping and shearing.

Cross-References."
"1153","Support Activities for ForestryT","NULL"
"11531","Support Activities for ForestryT","See industry description for 115310."
"115310","Support Activities for Forestry","This industry comprises establishments primarily engaged in performing particular support activities related to timber production, wood technology, forestry economics and marketing, and forest protection.  These establishments may provide support activities for forestry, such as estimating timber, forest firefighting, forest pest control, treating burned forests from the air for reforestation or on an emergency basis, and consulting on wood attributes and reforestation.

Cross-References. Establishments primarily engaged in--"
"21","Mining, Quarrying, and Oil and Gas ExtractionT","The Sector as a Whole

The Mining, Quarrying, and Oil and Gas Extraction sector comprises establishments that extract naturally occurring mineral solids, such as coal and ores; liquid minerals, such as crude petroleum; and gases, such as natural gas.  The term ""mining"" is used in the broad sense to include quarrying, well operations, beneficiating (e.g., crushing, screening, washing, and flotation), and other preparation customarily performed at the mine site, or as a part of mining activity.

The Mining, Quarrying, and Oil and Gas Extraction sector distinguishes two basic activities: mine operation and mining support activities.  Mine operation includes establishments operating mines, quarries, or oil and gas wells on their own account or for others on a contract or fee basis.  Mining support activities include establishments that perform exploration (except geophysical surveying and mapping) on a contract or fee basis and/or other mining services on a contract or fee basis (except mine site preparation, construction, and transportation activities).

Establishments in the Mining, Quarrying, and Oil and Gas Extraction sector are grouped and classified according to the natural resource mined or to be mined.  Industries include establishments that develop and/or operate the mine site, extract the natural resources, beneficiate (i.e., prepare) the mineral mined, or provide mining support activities.  Beneficiation is the process whereby the extracted material is reduced to particles that can be separated into mineral and waste, the former suitable for further processing or direct use.  The operations that take place in beneficiation are primarily mechanical, such as grinding, washing, magnetic separation, and centrifugal separation.  In contrast, manufacturing operations primarily use chemical and electrochemical processes, such as electrolysis and distillation.  However, some treatments, such as heat treatments, take place in both the beneficiation and the manufacturing (i.e., smelting/refining) stages.  The range of preparation activities varies by mineral and the purity of any given ore deposit.  While some minerals, such as petroleum and natural gas, require little or no preparation, others are washed and screened, while yet others, such as gold and silver, can be transformed into bullion before leaving the mine site.

Mining, beneficiating, and manufacturing activities often occur in a single location.  Separate receipts will be collected for these activities whenever possible.  When receipts cannot be broken out between mining and manufacturing, establishments that mine or quarry nonmetallic minerals, and then beneficiate the nonmetallic minerals into more finished manufactured products are classified based on the primary activity of the establishment.  A mine that manufactures a small amount of finished products will be classified in Sector 21, Mining, Quarrying, and Oil and Gas Extraction.  An establishment that mines whose primary output is a more finished manufactured product will be classified in Sector 31-33, Manufacturing.
"
"211","Oil and Gas ExtractionT","Industries in the Oil and Gas Extraction subsector operate and/or develop oil and gas field properties.  Operation and development activities include exploration for crude petroleum and natural gas; drilling, completing, and equipping wells; operating separators, emulsion breakers, desilting equipment, and field gathering lines for crude petroleum and natural gas; and all other activities in the preparation of oil and gas up to the point of shipment from the producing property.  This subsector includes the production of crude petroleum, the mining and extraction of oil from oil shale and oil sands, the production of natural gas, sulfur recovery from natural gas, and recovery of hydrocarbon liquids.

Establishments in this subsector include those that operate oil and gas wells on their own account or for others on a contract or fee basis.  Establishments primarily engaged in providing support services, on a contract or fee basis, required for the drilling or operation of oil and gas wells (except geophysical surveying and mapping, mine site preparation, construction of oil/gas pipelines, and transportation activities) are classified in Subsector 213, Support Activities for Mining.
"
"2111","Oil and Gas ExtractionT","NULL"
"21112","Crude Petroleum Extraction","See industry description for 211120."
