areaName,areaAcronym,areaSize,crimeEvents,ratio
Harbor Gateway,HAR,1.907E1,17,8.91E-1
Mission Hills ,MSS,4.491E1,40,8.91E-1
Boyle Heights,BHT,2.261E1,20,8.85E-1
San Pedro,SPD,2.798E1,24,8.58E-1
Hollywood,HWD,9.506E1,81,8.52E-1
Venice,VEN,1.184E1,10,8.45E-1
South Los Angeles,SLA,5.953E1,48,8.06E-1
Mission Hills ,MSS,4.491E1,36,8.02E-1
Boyle Heights,BHT,2.261E1,18,7.96E-1
Westwood,WWD,1.394E1,11,7.89E-1
Westlake,WLK,1.148E1,9,7.84E-1
North Hollywood ,NHL,4.025E1,31,7.7E-1
West Adams ,WAD,4.85E1,37,7.63E-1
Venice,VEN,1.184E1,9,7.6E-1
Central City,CCY,1.319E1,10,7.58E-1
Van Nuys ,VNY,4.88E1,37,7.58E-1
San Pedro,SPD,2.798E1,21,7.51E-1
Southeast Los Angeles,SEL,5.742E1,43,7.49E-1
Van Nuys ,VNY,4.88E1,36,7.38E-1
Wilmington ,WLM,3.827E1,28,7.32E-1
Southeast Los Angeles,SEL,5.742E1,42,7.32E-1
West Adams ,WAD,4.85E1,35,7.22E-1
Central City North,CCN,1.195E1,8,6.69E-1
South Los Angeles,SLA,5.953E1,39,6.55E-1
Palms ,PLM,3.106E1,20,6.44E-1
Sylmar,SYL,4.691E1,30,6.4E-1
Arleta ,ARL,3.932E1,25,6.36E-1
Silver Lake ,SLK,2.693E1,17,6.31E-1
Wilshire,WIL,5.298E1,33,6.23E-1
North Hollywood ,NHL,4.025E1,25,6.21E-1
North Hollywood ,NHL,4.025E1,24,5.96E-1
West Los Angeles,WLA,2.704E1,16,5.92E-1
Venice,VEN,1.184E1,7,5.91E-1
Reseda ,RES,4.613E1,27,5.85E-1
Arleta ,ARL,3.932E1,23,5.85E-1
Westchester ,WCH,3.081E1,18,5.84E-1
Palms ,PLM,3.106E1,18,5.79E-1
Harbor Gateway,HAR,1.907E1,11,5.77E-1
San Pedro,SPD,2.798E1,16,5.72E-1
Wilshire,WIL,5.298E1,30,5.66E-1
Reseda ,RES,4.613E1,26,5.64E-1
Northeast Los Angeles,NLA,9.278E1,52,5.6E-1
Mission Hills ,MSS,4.491E1,25,5.57E-1
Silver Lake ,SLK,2.693E1,15,5.57E-1
North Hollywood ,NHL,4.025E1,22,5.47E-1
Van Nuys ,VNY,4.88E1,26,5.33E-1
Reseda ,RES,4.613E1,24,5.2E-1
Reseda ,RES,4.613E1,23,4.99E-1
Sun Valley ,SVY,6.237E1,31,4.97E-1
West Adams ,WAD,4.85E1,24,4.95E-1
Palms ,PLM,3.106E1,15,4.83E-1
West Los Angeles,WLA,2.704E1,13,4.81E-1
Northridge,NRD,3.762E1,18,4.78E-1
Reseda ,RES,4.613E1,22,4.77E-1
Harbor Gateway,HAR,1.907E1,9,4.72E-1
Wilmington ,WLM,3.827E1,18,4.7E-1
Mission Hills ,MSS,4.491E1,21,4.68E-1
Wilshire,WIL,5.298E1,24,4.53E-1
West Los Angeles,WLA,2.704E1,12,4.44E-1
Boyle Heights,BHT,2.261E1,10,4.42E-1
South Los Angeles,SLA,5.953E1,26,4.37E-1
West Adams ,WAD,4.85E1,21,4.33E-1
Arleta ,ARL,3.932E1,17,4.32E-1
Venice,VEN,1.184E1,5,4.22E-1
North Hollywood ,NHL,4.025E1,17,4.22E-1
Hollywood,HWD,9.506E1,40,4.21E-1
Central City North,CCN,1.195E1,5,4.18E-1
Hollywood,HWD,9.506E1,39,4.1E-1
Mission Hills ,MSS,4.491E1,18,4.01E-1
San Pedro,SPD,2.798E1,11,3.93E-1
Van Nuys ,VNY,4.88E1,19,3.89E-1
Central City,CCY,1.319E1,5,3.79E-1
Wilshire,WIL,5.298E1,20,3.78E-1
Silver Lake ,SLK,2.693E1,10,3.71E-1
Hollywood,HWD,9.506E1,35,3.68E-1
Canoga Park ,CPK,1.0618E2,39,3.67E-1
Westwood,WWD,1.394E1,5,3.59E-1
San Pedro,SPD,2.798E1,10,3.57E-1
Sun Valley ,SVY,6.237E1,22,3.53E-1
Westlake,WLK,1.148E1,4,3.48E-1
Canoga Park ,CPK,1.0618E2,37,3.48E-1
Reseda ,RES,4.613E1,16,3.47E-1
Wilmington ,WLM,3.827E1,13,3.4E-1
Venice,VEN,1.184E1,4,3.38E-1
Central City North,CCN,1.195E1,4,3.35E-1
Silver Lake ,SLK,2.693E1,9,3.34E-1
Northeast Los Angeles,NLA,9.278E1,31,3.34E-1
San Pedro,SPD,2.798E1,9,3.22E-1
Wilmington ,WLM,3.827E1,12,3.14E-1
Chatsworth ,CHT,9.229E1,29,3.14E-1
Northeast Los Angeles,NLA,9.278E1,29,3.13E-1
West Adams ,WAD,4.85E1,15,3.09E-1
Sherman Oaks ,SHR,5.187E1,16,3.08E-1
Van Nuys ,VNY,4.88E1,15,3.07E-1
Sun Valley ,SVY,6.237E1,19,3.05E-1
Arleta ,ARL,3.932E1,12,3.05E-1
Silver Lake ,SLK,2.693E1,8,2.97E-1
West Los Angeles,WLA,2.704E1,8,2.96E-1
Northridge,NRD,3.762E1,11,2.92E-1
Canoga Park ,CPK,1.0618E2,31,2.92E-1
Palms ,PLM,3.106E1,9,2.9E-1
Van Nuys ,VNY,4.88E1,14,2.87E-1
Sun Valley ,SVY,6.237E1,17,2.73E-1
Mission Hills ,MSS,4.491E1,12,2.67E-1
Van Nuys ,VNY,4.88E1,13,2.66E-1
Boyle Heights,BHT,2.261E1,6,2.65E-1
Harbor Gateway,HAR,1.907E1,5,2.62E-1
Westchester ,WCH,3.081E1,8,2.6E-1
Northeast Los Angeles,NLA,9.278E1,24,2.59E-1
Palms ,PLM,3.106E1,8,2.58E-1
Canoga Park ,CPK,1.0618E2,27,2.54E-1
Van Nuys ,VNY,4.88E1,12,2.46E-1
Canoga Park ,CPK,1.0618E2,26,2.45E-1
Northridge,NRD,3.762E1,9,2.39E-1
Wilmington ,WLM,3.827E1,9,2.35E-1
Arleta ,ARL,3.932E1,9,2.29E-1
Westchester ,WCH,3.081E1,7,2.27E-1
North Hollywood ,NHL,4.025E1,9,2.24E-1
Silver Lake ,SLK,2.693E1,6,2.23E-1
West Los Angeles,WLA,2.704E1,6,2.22E-1
Hollywood,HWD,9.506E1,21,2.21E-1
Northeast Los Angeles,NLA,9.278E1,20,2.16E-1
Northridge,NRD,3.762E1,8,2.13E-1
Sherman Oaks ,SHR,5.187E1,11,2.12E-1
Los Angeles International Airport,LAX,2.357E1,5,2.12E-1
Wilmington ,WLM,3.827E1,8,2.09E-1
Arleta ,ARL,3.932E1,8,2.03E-1
Northeast Los Angeles,NLA,9.278E1,18,1.94E-1
Sylmar,SYL,4.691E1,9,1.92E-1
West Adams ,WAD,4.85E1,9,1.86E-1
Van Nuys ,VNY,4.88E1,9,1.84E-1
San Pedro,SPD,2.798E1,5,1.79E-1
Mission Hills ,MSS,4.491E1,8,1.78E-1
Boyle Heights,BHT,2.261E1,4,1.77E-1
Chatsworth ,CHT,9.229E1,16,1.73E-1
Reseda ,RES,4.613E1,8,1.73E-1
Los Angeles International Airport,LAX,2.357E1,4,1.7E-1
Venice,VEN,1.184E1,2,1.69E-1
Encino ,ENC,7.696E1,13,1.69E-1
Chatsworth ,CHT,9.229E1,15,1.63E-1
Palms ,PLM,3.106E1,5,1.61E-1
Sun Valley ,SVY,6.237E1,10,1.6E-1
Northridge,NRD,3.762E1,6,1.59E-1
Encino ,ENC,7.696E1,12,1.56E-1
Sherman Oaks ,SHR,5.187E1,8,1.54E-1
Arleta ,ARL,3.932E1,6,1.53E-1
Wilshire,WIL,5.298E1,8,1.51E-1
Canoga Park ,CPK,1.0618E2,16,1.51E-1
Sylmar,SYL,4.691E1,7,1.49E-1
Sunland ,SLD,9.734E1,14,1.44E-1
Encino ,ENC,7.696E1,11,1.43E-1
Westwood,WWD,1.394E1,2,1.43E-1
San Pedro,SPD,2.798E1,4,1.43E-1
Southeast Los Angeles,SEL,5.742E1,8,1.39E-1
Sherman Oaks ,SHR,5.187E1,7,1.35E-1
Boyle Heights,BHT,2.261E1,3,1.33E-1
Westchester ,WCH,3.081E1,4,1.3E-1
Granada Hills ,GHL,6.166E1,8,1.3E-1
Reseda ,RES,4.613E1,6,1.3E-1
Northeast Los Angeles,NLA,9.278E1,12,1.29E-1
Sun Valley ,SVY,6.237E1,8,1.28E-1
Sylmar,SYL,4.691E1,6,1.28E-1
Arleta ,ARL,3.932E1,5,1.27E-1
Hollywood,HWD,9.506E1,12,1.26E-1
North Hollywood ,NHL,4.025E1,5,1.24E-1
Chatsworth ,CHT,9.229E1,11,1.19E-1
Encino ,ENC,7.696E1,9,1.17E-1
Sun Valley ,SVY,6.237E1,7,1.12E-1
West Los Angeles,WLA,2.704E1,3,1.11E-1
Silver Lake ,SLK,2.693E1,3,1.11E-1
San Pedro,SPD,2.798E1,3,1.07E-1
Sylmar,SYL,4.691E1,5,1.07E-1
Hollywood,HWD,9.506E1,10,1.05E-1
Wilmington ,WLM,3.827E1,4,1.05E-1
Harbor Gateway,HAR,1.907E1,2,1.05E-1
Chatsworth ,CHT,9.229E1,9,9.8E-2
Sun Valley ,SVY,6.237E1,6,9.6E-2
Sherman Oaks ,SHR,5.187E1,5,9.6E-2
Port of Los Angeles,PTL,4.198E1,4,9.5E-2
Chatsworth ,CHT,9.229E1,8,8.7E-2
Los Angeles International Airport,LAX,2.357E1,2,8.5E-2
Sylmar,SYL,4.691E1,4,8.5E-2
Central City North,CCN,1.195E1,1,8.4E-2
Sunland ,SLD,9.734E1,8,8.2E-2
West Adams ,WAD,4.85E1,4,8.2E-2
Northridge,NRD,3.762E1,3,8.0E-2
Sherman Oaks ,SHR,5.187E1,4,7.7E-2
Central City,CCY,1.319E1,1,7.6E-2
Brentwood ,BTW,1.4404E2,11,7.6E-2
Canoga Park ,CPK,1.0618E2,8,7.5E-2
Westwood,WWD,1.394E1,1,7.2E-2
San Pedro,SPD,2.798E1,2,7.1E-2
Bel Air ,BAR,5.73E1,4,7.0E-2
Mission Hills ,MSS,4.491E1,3,6.7E-2
Canoga Park ,CPK,1.0618E2,7,6.6E-2
Granada Hills ,GHL,6.166E1,4,6.5E-2
Encino ,ENC,7.696E1,5,6.5E-2
Sylmar,SYL,4.691E1,3,6.4E-2
Palms ,PLM,3.106E1,2,6.4E-2
Sherman Oaks ,SHR,5.187E1,3,5.8E-2
Brentwood ,BTW,1.4404E2,8,5.6E-2
Northridge,NRD,3.762E1,2,5.3E-2
Bel Air ,BAR,5.73E1,3,5.2E-2
Harbor Gateway,HAR,1.907E1,1,5.2E-2
Encino ,ENC,7.696E1,4,5.2E-2
Sunland ,SLD,9.734E1,5,5.1E-2
North Hollywood ,NHL,4.025E1,2,5.0E-2
Granada Hills ,GHL,6.166E1,3,4.9E-2
Port of Los Angeles,PTL,4.198E1,2,4.8E-2
Boyle Heights,BHT,2.261E1,1,4.4E-2
Reseda ,RES,4.613E1,2,4.3E-2
Chatsworth ,CHT,9.229E1,4,4.3E-2
Northeast Los Angeles,NLA,9.278E1,4,4.3E-2
Los Angeles International Airport,LAX,2.357E1,1,4.2E-2
Sunland ,SLD,9.734E1,4,4.1E-2
West Adams ,WAD,4.85E1,2,4.1E-2
Encino ,ENC,7.696E1,3,3.9E-2
Sherman Oaks ,SHR,5.187E1,2,3.9E-2
Canoga Park ,CPK,1.0618E2,4,3.8E-2
West Los Angeles,WLA,2.704E1,1,3.7E-2
Brentwood ,BTW,1.4404E2,5,3.5E-2
Bel Air ,BAR,5.73E1,2,3.5E-2
Southeast Los Angeles,SEL,5.742E1,2,3.5E-2
Chatsworth ,CHT,9.229E1,3,3.3E-2
Westchester ,WCH,3.081E1,1,3.2E-2
Palms ,PLM,3.106E1,1,3.2E-2
Sun Valley ,SVY,6.237E1,2,3.2E-2
Granada Hills ,GHL,6.166E1,2,3.2E-2
Sunland ,SLD,9.734E1,3,3.1E-2
Brentwood ,BTW,1.4404E2,4,2.8E-2
Northridge,NRD,3.762E1,1,2.7E-2
Wilmington ,WLM,3.827E1,1,2.6E-2
Encino ,ENC,7.696E1,2,2.6E-2
North Hollywood ,NHL,4.025E1,1,2.5E-2
Port of Los Angeles,PTL,4.198E1,1,2.4E-2
Mission Hills ,MSS,4.491E1,1,2.2E-2
Reseda ,RES,4.613E1,1,2.2E-2
Brentwood ,BTW,1.4404E2,3,2.1E-2
Sunland ,SLD,9.734E1,2,2.1E-2
Sylmar,SYL,4.691E1,1,2.1E-2
Van Nuys ,VNY,4.88E1,1,2.0E-2
Sherman Oaks ,SHR,5.187E1,1,1.9E-2
Bel Air ,BAR,5.73E1,1,1.7E-2
South Los Angeles,SLA,5.953E1,1,1.7E-2
Granada Hills ,GHL,6.166E1,1,1.6E-2
Sun Valley ,SVY,6.237E1,1,1.6E-2
Encino ,ENC,7.696E1,1,1.3E-2
Northeast Los Angeles,NLA,9.278E1,1,1.1E-2
Hollywood,HWD,9.506E1,1,1.1E-2
Sunland ,SLD,9.734E1,1,1.0E-2
Brentwood ,BTW,1.4404E2,1,7.0E-3
